repository_name,state,triage_state,created_at,expiration_date,severity,remediation_window,rule_name
Kufta/testThree,unresolved,ignored,2024-05-13,2024-07-12,medium,60,python.django.security.django-no-csrf-token.django-no-csrf-token
Kufta/testThree,unresolved,ignored,2024-05-13,2024-07-12,medium,60,python.django.security.django-no-csrf-token.django-no-csrf-token
kufta-test/juice-shop,unresolved,untriaged,2024-06-23,2024-07-23,high,30,javascript.express.security.injection.tainted-sql-string.tainted-sql-string
kufta-test/juice-shop,unresolved,untriaged,2024-06-23,2024-07-23,high,30,javascript.express.security.injection.tainted-sql-string.tainted-sql-string
kufta-test/juice-shop,unresolved,untriaged,2024-06-23,2024-07-23,high,30,javascript.express.security.injection.tainted-sql-string.tainted-sql-string
kufta-test/juice-shop,unresolved,untriaged,2024-06-23,2024-07-23,high,30,javascript.express.security.injection.tainted-sql-string.tainted-sql-string
kufta-test/juice-shop,unresolved,untriaged,2024-06-23,2024-07-23,high,30,javascript.express.security.injection.tainted-sql-string.tainted-sql-string
kufta-test/juice-shop,unresolved,untriaged,2024-06-23,2024-07-23,high,30,javascript.express.security.injection.tainted-sql-string.tainted-sql-string
kufta-test/juice-shop,unresolved,untriaged,2024-06-08,2024-08-07,medium,60,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var
kufta-test/juice-shop,unresolved,untriaged,2024-06-08,2024-08-07,medium,60,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var
kufta-test/juice-shop,unresolved,untriaged,2024-06-08,2024-08-07,medium,60,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var
kufta-test/juice-shop,unresolved,untriaged,2024-06-08,2024-08-07,medium,60,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var
kufta-test/juice-shop,unresolved,untriaged,2024-06-08,2024-08-07,medium,60,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var
kufta-test/juice-shop,unresolved,untriaged,2024-06-08,2024-08-07,medium,60,javascript.express.security.audit.possible-user-input-redirect.unknown-value-in-redirect
